,Unnamed: 0,Jahr,Marktwert,Mannschaft,Punkte,Geld_pro_Punkt
0,0,2005,34.43,FC Basel,78,0.4414102564102564
1,1,2005,16.9,Grasshoppers,55,0.30727272727272725
2,2,2005,13.88,BSC Young Boys,62,0.2238709677419355
3,3,2005,11.38,FC Zürich,78,0.1458974358974359
4,4,2005,11.18,FC Aarau,35,0.3194285714285714
5,5,2005,8.64,FC Thun,49,0.1763265306122449
6,6,2005,6.65,FC St. Gallen,40,0.16625
7,7,2005,5.42,FC Schaffhausen,33,0.16424242424242425
8,8,2005,5.39,Neuchâtel Xamax,33,0.16333333333333333
9,9,2005,2.53,Yverdon-Sport,32,0.0790625
10,10,2006,24.48,FC Basel,74,0.3308108108108108
11,11,2006,18.55,Grasshoppers,50,0.371
12,12,2006,18.45,FC Zürich,75,0.246
13,13,2006,17.55,BSC Young Boys,59,0.2974576271186441
14,14,2006,12.51,FC St. Gallen,55,0.22745454545454544
15,15,2006,12.13,FC Thun,37,0.3278378378378379
16,16,2006,9.78,FC Sion,60,0.16299999999999998
17,17,2006,8.9,FC Luzern,33,0.2696969696969697
18,18,2006,7.63,FC Aarau,26,0.29346153846153844
19,19,2006,7.3,FC Schaffhausen,25,0.292
20,20,2007,21.53,FC Basel,74,0.29094594594594597
21,21,2007,18.58,FC Sion,43,0.4320930232558139
22,22,2007,17.18,FC Zürich,56,0.3067857142857143
23,23,2007,14.88,BSC Young Boys,70,0.21257142857142858
24,24,2007,13.78,FC St. Gallen,34,0.4052941176470588
25,25,2007,11.5,FC Luzern,44,0.26136363636363635
26,26,2007,10.28,Grasshoppers,54,0.19037037037037036
27,27,2007,9.73,Neuchâtel Xamax,41,0.23731707317073172
28,28,2007,7.98,FC Aarau,47,0.1697872340425532
29,29,2007,7.3,FC Thun,27,0.27037037037037037
30,30,2008,24.63,FC Basel,72,0.3420833333333333
31,31,2008,21.0,Grasshoppers,50,0.42
32,32,2008,20.25,FC Zürich,79,0.2563291139240506
33,33,2008,19.9,BSC Young Boys,73,0.2726027397260274
34,34,2008,19.85,FC Sion,37,0.5364864864864866
35,35,2008,12.08,FC Luzern,35,0.34514285714285714
36,36,2008,9.63,FC Aarau,44,0.21886363636363637
37,37,2008,8.3,Neuchâtel Xamax,40,0.20750000000000002
38,38,2008,5.85,AC Bellinzona,43,0.13604651162790696
39,39,2008,3.53,FC Vaduz,22,0.16045454545454543
40,40,2009,32.25,FC Basel,80,0.403125
41,41,2009,31.55,FC Zürich,45,0.7011111111111111
42,42,2009,20.8,BSC Young Boys,77,0.27012987012987016
43,43,2009,17.05,FC Sion,51,0.3343137254901961
44,44,2009,15.88,Grasshoppers,65,0.2443076923076923
45,45,2009,15.65,AC Bellinzona,25,0.626
46,46,2009,14.5,Neuchâtel Xamax,41,0.35365853658536583
47,47,2009,14.3,FC Luzern,58,0.24655172413793106
48,48,2009,10.9,FC St. Gallen,46,0.23695652173913045
49,49,2009,10.33,FC Aarau,23,0.4491304347826087
50,50,2010,41.2,FC Basel,73,0.5643835616438356
51,51,2010,26.6,BSC Young Boys,57,0.4666666666666667
52,52,2010,23.25,FC Zürich,72,0.3229166666666667
53,53,2010,18.38,FC Sion,54,0.3403703703703704
54,54,2010,16.45,FC St. Gallen,31,0.5306451612903226
55,55,2010,14.2,Grasshoppers,41,0.3463414634146341
56,56,2010,14.05,FC Luzern,48,0.29270833333333335
57,57,2010,12.35,Neuchâtel Xamax,32,0.3859375
58,58,2010,8.35,AC Bellinzona,32,0.2609375
59,59,2010,7.95,FC Thun,49,0.16224489795918368
60,60,2011,38.95,FC Basel,74,0.5263513513513514
61,61,2011,31.0,BSC Young Boys,51,0.6078431372549019
62,62,2011,24.8,FC Zürich,41,0.6048780487804878
63,63,2011,24.23,Neuchâtel Xamax,0,inf
64,64,2011,23.95,FC Sion,17,1.4088235294117646
65,65,2011,13.88,FC Luzern,54,0.25703703703703706
66,66,2011,13.45,Grasshoppers,26,0.5173076923076922
67,67,2011,9.25,Lausanne-Sport,30,0.30833333333333335
68,68,2011,8.3,FC Thun,43,0.1930232558139535
69,69,2011,8.18,Servette FC,48,0.17041666666666666
70,70,2012,39.25,FC Basel,72,0.5451388888888888
71,71,2012,32.35,BSC Young Boys,43,0.7523255813953489
72,72,2012,29.6,FC Sion,48,0.6166666666666667
73,73,2012,18.2,FC Luzern,42,0.4333333333333333
74,74,2012,17.75,FC Zürich,55,0.32272727272727275
75,75,2012,14.15,Grasshoppers,69,0.20507246376811594
76,76,2012,11.4,Servette FC,26,0.43846153846153846
77,77,2012,10.35,FC St. Gallen,59,0.1754237288135593
78,78,2012,9.03,FC Thun,48,0.188125
79,79,2012,8.5,Lausanne-Sport,33,0.25757575757575757
80,80,2013,67.83,FC Basel,72,0.9420833333333333
81,81,2013,23.95,BSC Young Boys,59,0.4059322033898305
82,82,2013,20.98,FC Sion,43,0.48790697674418604
83,83,2013,20.65,Grasshoppers,65,0.31769230769230766
84,84,2013,18.88,FC Zürich,50,0.3776
85,85,2013,14.3,FC Luzern,51,0.2803921568627451
86,86,2013,13.53,Lausanne-Sport,24,0.56375
87,87,2013,13.48,FC St. Gallen,45,0.2995555555555556
88,88,2013,11.4,FC Aarau,42,0.27142857142857146
89,89,2013,10.43,FC Thun,48,0.21729166666666666
90,90,2014,44.4,FC Basel,78,0.5692307692307692
91,91,2014,22.63,BSC Young Boys,66,0.34287878787878784
92,92,2014,22.55,FC Sion,45,0.5011111111111112
93,93,2014,20.5,Grasshoppers,43,0.47674418604651164
94,94,2014,19.03,FC Luzern,47,0.40489361702127663
95,95,2014,17.3,FC Zürich,53,0.3264150943396227
96,96,2014,13.85,FC St. Gallen,47,0.2946808510638298
97,97,2014,12.73,FC Aarau,30,0.42433333333333334
98,98,2014,12.0,FC Thun,52,0.23076923076923078
99,99,2014,8.03,FC Vaduz,31,0.25903225806451613
100,100,2015,57.9,FC Basel,83,0.6975903614457831
101,101,2015,40.1,BSC Young Boys,69,0.5811594202898551
102,102,2015,32.6,FC Sion,50,0.652
103,103,2015,28.38,FC Zürich,34,0.8347058823529412
104,104,2015,25.0,Grasshoppers,53,0.4716981132075472
105,105,2015,21.83,FC St. Gallen,38,0.5744736842105262
106,106,2015,21.4,FC Luzern,54,0.39629629629629626
107,107,2015,14.43,FC Vaduz,36,0.4008333333333333
108,108,2015,12.2,FC Thun,41,0.2975609756097561
109,109,2015,9.93,FC Lugano,35,0.2837142857142857
110,110,2016,67.7,FC Basel,86,0.7872093023255814
111,111,2016,40.85,BSC Young Boys,69,0.5920289855072464
112,112,2016,37.88,FC Sion,51,0.7427450980392157
113,113,2016,27.93,Grasshoppers,38,0.735
114,114,2016,21.95,FC St. Gallen,41,0.5353658536585366
115,115,2016,14.78,FC Luzern,50,0.2956
116,116,2016,14.1,FC Lugano,53,0.2660377358490566
117,117,2016,11.45,FC Thun,45,0.2544444444444444
118,118,2016,10.83,Lausanne-Sport,35,0.30942857142857144
119,119,2016,10.28,FC Vaduz,30,0.3426666666666666
120,120,2017,59.93,FC Basel,69,0.8685507246376811
121,121,2017,36.35,FC Sion,42,0.8654761904761905
122,122,2017,25.45,BSC Young Boys,84,0.30297619047619045
123,123,2017,23.2,Grasshoppers,39,0.5948717948717949
124,124,2017,20.63,FC St. Gallen,45,0.45844444444444443
125,125,2017,19.1,Lausanne-Sport,35,0.5457142857142857
126,126,2017,15.73,FC Luzern,54,0.29129629629629633
127,127,2017,15.6,FC Lugano,42,0.37142857142857144
128,128,2017,15.05,FC Zürich,49,0.30714285714285716
129,129,2017,12.93,FC Thun,42,0.30785714285714283
